[roll1:2010]  [pitch1:928]  [yaw1:2264]  [Ax1:7.940] [Ay1:6.528] [Az1:6.226] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2001]  [pitch1:925]  [yaw1:2281]  [Ax1:9.710] [Ay1:4.456] [Az1:7.293] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1978]  [pitch1:939]  [yaw1:2299]  [Ax1:7.753] [Ay1:2.895] [Az1:8.806] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1946]  [pitch1:959]  [yaw1:2316]  [Ax1:4.427] [Ay1:0.440] [Az1:9.543] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1875]  [pitch1:1003]  [yaw1:2348]  [Ax1:1.560] [Ay1:-3.819] [Az1:9.040] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1875]  [pitch1:1003]  [yaw1:2348]  [Ax1:1.560] [Ay1:-3.819] [Az1:9.040] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1844]  [pitch1:1030]  [yaw1:2360]  [Ax1:1.268] [Ay1:-5.030] [Az1:10.471] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1820]  [pitch1:1060]  [yaw1:2368]  [Ax1:-1.632] [Ay1:-5.422] [Az1:11.036] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1792]  [pitch1:1127]  [yaw1:2378]  [Ax1:-3.867] [Ay1:-4.609] [Az1:8.188] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1792]  [pitch1:1127]  [yaw1:2378]  [Ax1:-3.867] [Ay1:-4.609] [Az1:8.188] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1780]  [pitch1:1163]  [yaw1:2378]  [Ax1:-4.432] [Ay1:-3.532] [Az1:6.872] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1749]  [pitch1:1228]  [yaw1:2368]  [Ax1:-7.528] [Ay1:-3.771] [Az1:6.183] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1749]  [pitch1:1228]  [yaw1:2368]  [Ax1:-7.528] [Ay1:-3.771] [Az1:6.183] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1731]  [pitch1:1258]  [yaw1:2357]  [Ax1:-7.552] [Ay1:-4.920] [Az1:5.623] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1694]  [pitch1:1310]  [yaw1:2326]  [Ax1:-7.686] [Ay1:-3.192] [Az1:4.503] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1667]  [pitch1:1333]  [yaw1:2301]  [Ax1:-7.767] [Ay1:-3.345] [Az1:4.302] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1635]  [pitch1:1355]  [yaw1:2270]  [Ax1:-10.404] [Ay1:-3.680] [Az1:3.776] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1596]  [pitch1:1371]  [yaw1:2233]  [Ax1:-11.543] [Ay1:-2.905] [Az1:3.077] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1557]  [pitch1:1388]  [yaw1:2196]  [Ax1:-13.539] [Ay1:-3.307] [Az1:4.020] [        ][?][        ]
